"rep","nacl","temp","seeds","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
1,0,25,50,0,39,8,3,0,0,0,0,0,0,0
2,0,25,50,0,40,9,1,0,0,0,0,0,0,0
3,0,25,50,0,34,16,0,0,0,0,0,0,0,0
4,0,25,50,0,43,7,0,0,0,0,0,0,0,0
1,0,30,50,0,48,2,0,0,0,0,0,0,0,0
2,0,30,50,0,47,3,0,0,0,0,0,0,0,0
3,0,30,50,0,50,0,0,0,0,0,0,0,0,0
4,0,30,50,0,49,1,0,0,0,0,0,0,0,0
1,0.5,25,50,0,10,37,1,2,0,0,0,0,0,0
2,0.5,25,50,0,18,30,1,1,0,0,0,0,0,0
3,0.5,25,50,0,6,44,0,0,0,0,0,0,0,0
4,0.5,25,50,0,8,42,0,0,0,0,0,0,0,0
1,0.5,30,50,0,45,5,0,0,0,0,0,0,0,0
2,0.5,30,50,0,42,8,0,0,0,0,0,0,0,0
3,0.5,30,50,0,46,4,0,0,0,0,0,0,0,0
4,0.5,30,50,0,47,3,0,0,0,0,0,0,0,0
1,1,25,50,0,0,22,20,6,0,0,0,0,0,0
2,1,25,50,0,0,27,8,13,0,0,0,0,0,0
3,1,25,50,0,3,27,6,11,0,0,0,0,0,0
4,1,25,50,0,0,15,24,10,0,0,0,0,0,0
1,1,30,50,0,6,39,4,0,0,0,0,0,0,0
2,1,30,50,0,5,43,2,0,0,0,0,0,0,0
3,1,30,50,0,8,40,0,0,0,0,0,0,0,0
4,1,30,50,0,7,43,0,0,0,0,0,0,0,0
1,1.5,25,50,0,0,0,1,14,15,0,17,0,0,0
2,1.5,25,50,0,0,0,5,8,15,0,20,0,0,0
3,1.5,25,50,0,0,0,8,0,20,1,19,0,0,0
4,1.5,25,50,0,0,0,9,0,20,0,20,0,0,0
1,1.5,30,50,0,1,5,34,6,3,1,0,0,0,0
2,1.5,30,50,0,0,7,38,5,0,0,0,0,0,0
3,1.5,30,50,0,0,11,34,4,1,0,0,0,0,0
4,1.5,30,50,0,0,7,35,5,0,0,0,0,0,0
1,2,25,50,0,0,0,0,0,3,14,26,3,1,0
2,2,25,50,0,0,0,0,1,15,15,13,2,1,0
3,2,25,50,0,0,0,0,0,5,13,21,5,2,0
4,2,25,50,0,0,1,0,0,0,18,26,2,2,0
1,2,30,50,0,0,0,3,25,18,0,0,0,0,0
2,2,30,50,0,0,0,5,22,21,0,0,0,0,0
3,2,30,50,0,0,0,4,21,19,3,0,0,0,0
4,2,30,50,0,0,2,4,20,13,8,0,0,0,0
1,0,35,50,0,48,2,0,0,0,0,0,0,0,0
2,0,35,50,0,50,0,0,0,0,0,0,0,0,0
3,0,35,50,0,49,1,0,0,0,0,0,0,0,0
4,0,35,50,0,50,0,0,0,0,0,0,0,0,0
1,0,40,50,0,47,3,0,0,0,0,0,0,0,0
2,0,40,50,0,48,2,0,0,0,0,0,0,0,0
3,0,40,50,0,49,1,0,0,0,0,0,0,0,0
4,0,40,50,0,49,1,0,0,0,0,0,0,0,0
1,0.5,35,50,0,47,0,3,0,0,0,0,0,0,0
2,0.5,35,50,0,45,3,0,0,0,0,0,0,0,0
3,0.5,35,50,0,48,1,1,0,0,0,0,0,0,0
4,0.5,35,50,0,45,3,0,0,0,0,0,0,0,0
1,0.5,40,50,0,15,2,31,0,0,0,0,0,0,0
2,0.5,40,50,0,12,8,29,0,0,0,0,0,0,0
3,0.5,40,50,0,12,6,30,0,0,0,0,0,0,0
4,0.5,40,50,0,12,11,24,0,0,0,0,0,0,0
1,1,35,50,0,19,28,2,0,0,0,0,0,0,0
2,1,35,50,0,20,21,7,0,0,0,0,0,0,0
3,1,35,50,0,14,10,22,0,0,0,0,0,0,0
4,1,35,50,0,15,33,1,0,0,0,0,0,0,0
1,1,40,50,0,2,7,33,8,0,0,0,0,0,0
2,1,40,50,0,6,14,25,3,0,0,0,0,0,0
3,1,40,50,0,6,11,23,9,0,0,0,0,0,0
4,1,40,50,0,5,5,38,2,0,0,0,0,0,0
1,1.5,35,50,0,0,7,21,19,2,1,0,0,0,0
2,1.5,35,50,0,1,2,27,15,3,0,0,0,0,0
3,1.5,35,50,0,0,5,24,19,2,0,0,0,0,0
4,1.5,35,50,0,1,6,17,24,0,1,0,0,0,0
1,1.5,40,50,0,0,1,2,3,0,0,0,0,0,0
2,1.5,40,50,0,0,2,1,3,0,0,0,0,0,0
3,1.5,40,50,0,0,1,1,2,0,0,0,0,0,0
4,1.5,40,50,0,0,1,1,3,0,0,0,0,0,0
1,2,35,50,0,0,0,1,1,1,1,1,2,3,0
2,2,35,50,0,0,0,0,0,3,0,2,0,5,0
3,2,35,50,0,0,0,0,0,5,0,1,0,3,0
4,2,35,50,0,0,0,0,0,3,1,1,3,3,0
1,2,40,50,0,0,0,0,0,0,0,0,0,0,0
2,2,40,50,0,0,0,0,0,0,0,0,0,0,0
3,2,40,50,0,0,0,0,0,0,0,0,0,0,0
4,2,40,50,0,0,0,0,0,0,0,0,0,0,0
